fecha	dataset	cantTrees	nodesize	ganancia_promedio	tiempo_promedio	ganancias									
20161025 025608	abril_visamaster	500	100	-3078611	226.2085	-3220000	-3088333	-2927500							
20161025 025608	abril_visamaster	500	100	-3078611	226.2085	-3220000	-3088333	-2927500							
20161026 024241	abril_visamaster	200	500	975000	79.85986	1131667	930833.3	862500							
20161026 024241	abril_visamaster	200	500	975000	79.85986	1131667	930833.3	862500							
20161026 024241	abril_visamaster	200	500	975000	79.85986	1131667	930833.3	862500							
20161026 024658	abril_visamaster	200	600	1043611	81.55042	1140833	1090000	900000							
20161026 024658	abril_visamaster	200	600	1043611	81.55042	1140833	1090000	900000							
20161026 024658	abril_visamaster	200	600	1043611	81.55042	1140833	1090000	900000							
20161026 025104	abril_visamaster	200	800	1304444	78.06947	1271667	1415000	1226667							
20161026 025104	abril_visamaster	200	800	1304444	78.06947	1271667	1415000	1226667							
20161026 025104	abril_visamaster	200	800	1304444	78.06947	1271667	1415000	1226667							
20161026 025504	abril_visamaster	200	1000	1343333	75.92465	1400833	1505833	1123333							
20161026 025504	abril_visamaster	200	1000	1343333	75.92465	1400833	1505833	1123333							
20161026 025504	abril_visamaster	200	1000	1343333	75.92465	1400833	1505833	1123333							
20161026 030120	abril_visamaster	300	500	961111.1	119.8658	1084167	934166.7	865000							
20161026 030120	abril_visamaster	300	500	961111.1	119.8658	1084167	934166.7	865000							
20161026 030120	abril_visamaster	300	500	961111.1	119.8658	1084167	934166.7	865000							
20161026 030725	abril_visamaster	300	600	1096667	116.1676	1197500	1090000	1002500							
20161026 030725	abril_visamaster	300	600	1096667	116.1676	1197500	1090000	1002500							
20161026 030725	abril_visamaster	300	600	1096667	116.1676	1197500	1090000	1002500							
20161026 031323	abril_visamaster	300	800	1289722	114.0733	1275000	1410000	1184167							
20161026 031323	abril_visamaster	300	800	1289722	114.0733	1275000	1410000	1184167							
20161026 031323	abril_visamaster	300	800	1289722	114.0733	1275000	1410000	1184167							
20161026 031923	abril_visamaster	300	1000	1380556	114.7754	1377500	1589167	1175000							
20161026 031923	abril_visamaster	300	1000	1380556	114.7754	1377500	1589167	1175000							
20161026 031923	abril_visamaster	300	1000	1380556	114.7754	1377500	1589167	1175000							
20161026 032930	abril_visamaster	500	500	1018889	193.8429	1109167	1030000	917500							
20161026 032930	abril_visamaster	500	500	1018889	193.8429	1109167	1030000	917500							
20161026 032930	abril_visamaster	500	500	1018889	193.8429	1109167	1030000	917500							
20161026 033922	abril_visamaster	500	600	1111944	188.507	1175000	1161667	999166.7							
20161026 033922	abril_visamaster	500	600	1111944	188.507	1175000	1161667	999166.7							
20161026 033922	abril_visamaster	500	600	1111944	188.507	1175000	1161667	999166.7							
20161026 034912	abril_visamaster	500	800	1284167	188.253	1221667	1482500	1148333							
20161026 034912	abril_visamaster	500	800	1284167	188.253	1221667	1482500	1148333							
20161026 034912	abril_visamaster	500	800	1284167	188.253	1221667	1482500	1148333							
20161026 035845	abril_visamaster	500	1000	1362778	182.4159	1381667	1532500	1174167							
20161026 035845	abril_visamaster	500	1000	1362778	182.4159	1381667	1532500	1174167							
20161026 035845	abril_visamaster	500	1000	1362778	182.4159	1381667	1532500	1174167							
20161027 232324	abril_visamaster	200	1200	1400278	127.1298	1365000	1538333	1297500							
20161027 232324	abril_visamaster	200	1200	1400278	127.1298	1365000	1538333	1297500							
20161027 232324	abril_visamaster	200	1200	1400278	127.1298	1365000	1538333	1297500							
20161027 232918	abril_visamaster	200	1500	1397222	114.0497	1407500	1562500	1221667							
20161027 232918	abril_visamaster	200	1500	1397222	114.0497	1407500	1562500	1221667							
20161027 232918	abril_visamaster	200	1500	1397222	114.0497	1407500	1562500	1221667							
20161027 233447	abril_visamaster	200	2000	1438056	105.8513	1425000	1594167	1295000							
20161027 233447	abril_visamaster	200	2000	1438056	105.8513	1425000	1594167	1295000							
20161027 233447	abril_visamaster	200	2000	1438056	105.8513	1425000	1594167	1295000							
